project,run_id,date_time_run,model_name,metric_name,metric_value
example,9c5a9f8f-d896-4d88-988d-cd33d0d3f275,2024-02-10 21:36:12,RandomForest,accuracy,0.5
example,9c5a9f8f-d896-4d88-988d-cd33d0d3f275,2024-02-10 21:36:12,RandomForest,precision,0.5
example,9c5a9f8f-d896-4d88-988d-cd33d0d3f275,2024-02-10 21:36:12,RandomForest,recall,1.0
example,a380956a-c69d-4ec3-ac0d-34132a332c12,2024-02-10 21:42:14,RandomForest,accuracy,0.5
example,a380956a-c69d-4ec3-ac0d-34132a332c12,2024-02-10 21:42:14,RandomForest,precision,0.5
example,a380956a-c69d-4ec3-ac0d-34132a332c12,2024-02-10 21:42:14,RandomForest,recall,1.0
example,f80cd715-784c-4d16-afb5-3d68906fc21d,2024-02-10 21:42:37,RandomForest,accuracy,0.5
example,f80cd715-784c-4d16-afb5-3d68906fc21d,2024-02-10 21:42:37,RandomForest,precision,0.5
example,f80cd715-784c-4d16-afb5-3d68906fc21d,2024-02-10 21:42:37,RandomForest,recall,1.0
example,5d36dae6-824f-4174-bf3c-fb814a5ffa69,2024-02-10 21:43:28,RandomForest,accuracy,0.5
example,5d36dae6-824f-4174-bf3c-fb814a5ffa69,2024-02-10 21:43:28,RandomForest,precision,0.5
example,5d36dae6-824f-4174-bf3c-fb814a5ffa69,2024-02-10 21:43:28,RandomForest,recall,1.0
example,4aeda151-5f32-447b-808f-16bf1ab7977c,2024-02-10 21:46:15,RandomForest,accuracy,0.5
example,4aeda151-5f32-447b-808f-16bf1ab7977c,2024-02-10 21:46:15,RandomForest,precision,0.5
example,4aeda151-5f32-447b-808f-16bf1ab7977c,2024-02-10 21:46:15,RandomForest,recall,1.0
example,75d56d3f-2658-4849-8146-a8e8896365c2,2024-02-10 21:50:37,RandomForest,accuracy,0.5
example,75d56d3f-2658-4849-8146-a8e8896365c2,2024-02-10 21:50:37,RandomForest,precision,0.5
example,75d56d3f-2658-4849-8146-a8e8896365c2,2024-02-10 21:50:37,RandomForest,recall,1.0
example,81ca465a-2b8d-4794-91ef-389dd5c35a1d,2024-02-10 21:53:00,RandomForest,accuracy,0.5
example,81ca465a-2b8d-4794-91ef-389dd5c35a1d,2024-02-10 21:53:00,RandomForest,precision,0.5
example,81ca465a-2b8d-4794-91ef-389dd5c35a1d,2024-02-10 21:53:00,RandomForest,recall,1.0
example,0897341f-1650-4753-be5b-cff75e93b54d,2024-02-10 21:53:39,RandomForest,accuracy,0.5
example,0897341f-1650-4753-be5b-cff75e93b54d,2024-02-10 21:53:39,RandomForest,precision,0.5
example,0897341f-1650-4753-be5b-cff75e93b54d,2024-02-10 21:53:39,RandomForest,recall,1.0
example,959793bd-4ea0-4d71-aaf3-b7628cad2a63,2024-02-11 09:38:44,RandomForest,accuracy,0.5
example,959793bd-4ea0-4d71-aaf3-b7628cad2a63,2024-02-11 09:38:44,RandomForest,precision,0.5
example,959793bd-4ea0-4d71-aaf3-b7628cad2a63,2024-02-11 09:38:44,RandomForest,recall,1.0
example,a4c6a44a-a666-4dc6-acc2-ff421763711d,2024-02-11 09:40:54,RandomForest,accuracy,0.5
example,a4c6a44a-a666-4dc6-acc2-ff421763711d,2024-02-11 09:40:54,RandomForest,precision,0.5
example,a4c6a44a-a666-4dc6-acc2-ff421763711d,2024-02-11 09:40:54,RandomForest,recall,1.0
example,a83cfbec-31f0-43dd-80c0-cf0f7505bb59,2024-02-11 09:42:05,RandomForest,accuracy,0.5
example,a83cfbec-31f0-43dd-80c0-cf0f7505bb59,2024-02-11 09:42:05,RandomForest,precision,0.5
